metric,value
final_epoch,1.0
total_iterations,520.0
final_loss,5.061753273010254
min_loss,5.061753273010254
min_loss_iteration,517.0
train_mse,4.700560851235787
train_mae,1.3145962759299885
train_r2,0.9999087037209992
test_mse_multi,81.3134034838393
test_mae_multi,4.681679955817356
test_r2_multi,0.9987979791268525
test_mse_1step,0.21531740779087194
test_mae_1step,0.2832962549637384
test_r2_1step,0.999996817055892
training_time_seconds,355.3695070743561
training_time_minutes,5.922825117905934
n_train_points,121.0
n_test_points,40.0
