time,Q,S,I,R,D,V
0,0.0,990.0,10.0,0.0,0.0,0.0
1,0.5136109452715213,967.2851332886987,11.4294185999119,1.0908436400606023,0.1083209030118495,19.572672623045424
2,1.0567303091634457,944.6692438025618,12.975073570517843,2.372726546011804,0.23416146346896138,38.69206430827616
3,1.6323892313465505,922.1384289585981,14.630883109768373,3.859478697495723,0.3788114669319408,57.36000853585939
4,2.243006642145901,899.6832931315856,16.38770794505533,5.564389013349112,0.5434983925862235,75.57810487527787
5,2.8902895160869795,877.2994621905925,18.23324069187984,7.499840293504135,0.7293528942144514,93.34781441372205
6,3.575138483837311,854.987989990465,20.152003394269993,9.67693044758446,0.9373732029995281,110.67056448084367
7,4.29756399872843,832.7556255506133,22.125468121179576,12.10509254119268,1.1683896795944382,127.54786010869157
8,5.056618283684571,810.6149141662867,24.13231022646442,14.791727234423643,1.4230308354377101,143.981399253703
9,5.8503482608451085,788.5841118393407,26.148796728713606,17.74186269972142,1.7016922758357675,159.9731881955434
10,6.675774119593782,766.6869016235812,28.149303812057795,20.957857191364816,2.0045100117103543,175.52565324169208
11,7.528897287545043,744.951911257415,30.106948538580767,24.43915864601102,2.3313394957500506,190.64174477469814
12,8.404740339670731,723.4120433230629,31.994310901606454,28.182134122710238,2.6817415709505985,205.32502974199892
13,9.297419834680094,702.1036409558658,33.78421472394015,32.17997918237028,3.054976244080908,219.5797690590626
14,10.200251331107575,681.0655228912001,35.45053007814532,36.42271388830665,3.4500048541175685,233.41097695712276
15,11.105884021120717,660.3379302421839,36.96895678691588,40.89726807244997,3.865500806882495,246.82446007044695
16,12.006460625336794,639.9614332339696,38.317748483224264,45.58765406852198,4.299868613038018,259.82683497590926
17,12.893796829995054,619.9758471257387,39.47834056090069,50.4752210314696,4.751270574689207,272.4255238772068
18,13.759573173514422,600.4192061210168,40.435850759247266,55.53898077858258,5.217660064679614,284.6287291029594
19,14.59553170404773,581.326837811482,41.17943051929067,60.755991877671484,5.696820046132238,296.44538804137585
20,15.393669590550921,562.7305725331983,41.702455158840586,66.10178656410594,6.186405287814546,307.8851108654898
21,16.14642212712662,544.6581124239228,42.00255113498609,71.5508237037127,6.683986616977757,318.95810399327394
22,16.84682833059311,527.1325742009888,42.081468552878825,77.07695075670392,7.187095546524181,329.6750826123112
23,17.488673414401642,510.1722086768184,41.94481643967164,82.65385789358037,7.693267656580712,340.04717591894723
24,18.066604229826293,493.79028981391474,41.60168369092518,88.2555104618629,8.200083422159768,350.08582838131116
25,18.576214738333288,477.99515923612785,41.06417369852126,93.85654660640999,8.705205255084078,359.80270046552357
26,19.014100822209578,462.790405157923,40.346881312286584,99.43263118526501,9.206409964036352,369.20957155827955
27,19.377884719152778,448.17515210312234,39.46634067238588,104.96075889955137,9.701616016420187,378.31824758936745
28,19.666210803129683,434.1444353011536,38.440470730739136,110.41950250502029,10.188905279716899,387.1404753802404
29,19.87871560616021,420.68963378577234,37.288041266896364,115.78920497032024,10.666539211936026,395.68786515891486
30,20.01597549713371,407.7989392922495,36.028176599655474,121.05211686303915,11.132969695878652,403.9718220520436
31,20.079436057085324,395.4578390398379,34.67991135152682,126.19248153206166,11.586844840191473,412.0034871792969
32,20.071327374411506,383.64959496701914,33.261806370197334,131.1965726677141,12.027010251744716,419.79368836891314
33,19.99456937408321,372.35570516983967,31.79162937439867,136.05268944775838,12.452506336380733,427.3529002975393
34,19.852671145102317,361.55633668145856,30.286101172075465,140.7511151648731,12.86256224199129,434.6912135944992
35,19.649627865249567,351.23072209378074,28.76070522740104,145.28404548641274,13.25658707157031,441.81831225558557
36,19.389818511849036,341.35751530474647,27.229556091388037,149.64549251767704,13.634158985839957,448.7434585884994
37,19.077906796235325,331.9151047486567,25.705320675242838,153.8311701994895,13.995012740664722,455.47548483971093
38,18.71874766693564,322.8818831467545,24.19918567688618,157.83836664630218,14.339026208881046,462.0227906542405
39,18.317300773560266,314.2364756966163,22.720863769583502,161.66580794102427,14.66620631737558,468.39334550184014
40,17.878552034162475,305.9579288297127,21.27863164501921,165.31351742086062,14.976674781855634,474.59469528838935
41,17.407444148544602,298.0258622283559,19.879392873446427,168.78267438186856,15.270654005169504,480.63397236261505
42,16.908816167813097,290.4205880564817,18.528759407268844,172.0754747727088,15.54845336802589,486.5179082277017
43,16.387352409481824,283.1232007497611,17.23114582693566,175.19499657575327,15.810456156493851,492.2528482815743
44,15.84754006253289,276.11564153062733,15.98987258048263,178.14507043258678,16.057107159568428,497.8447682342019
